,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment
0,US,16199106,R203HPW78Z7N4K,B0067WNSZY,633038551,"FGGF3032MW Gallery Series 30"" Wide Freestanding Gas Range 5 Sealed Burners Easy Temperature Probe Express-Select Controls One-Touch Self Clean:",Major Appliances,5,0,0,N,Y,"If you need a new stove, this is a winner.",What a great stove.  What a wonderful replacement for my sort of antique.  Enjoy it every day.,8/31/15,POSITIVE
1,US,16374060,R2EAIGVLEALSP3,B002QSXK60,811766671,Best Hand Clothes Wringer,Major Appliances,5,1,1,N,Y,Five Stars,worked great,8/31/15,POSITIVE
2,US,15322085,R1K1CD73HHLILA,B00EC452R6,345562728,Supco SET184 Thermal Cutoff Kit,Major Appliances,5,0,0,N,Y,Fast Shipping,Part exactly what I needed.  Saved by purchasing myself.,8/31/15,POSITIVE
3,US,32004835,R2KZBMOFRMYOPO,B00MVVIF2G,563052763,"Midea WHS-160RB1 Compact Single Reversible Door Refrigerator and Freezer, 4.4 Cubic Feet, Black",Major Appliances,5,1,1,N,Y,Five Stars,Love my refrigerator! ! Keeps everything  cold..will recommend!,8/31/15,POSITIVE
4,US,25414497,R6BIZOZY6UD01,B00IY7BNUW,874236579,Avalon Bay Portable Ice Maker,Major Appliances,5,0,0,N,Y,Five Stars,No more running to the store for ice!  Works perfectly.,8/31/15,POSITIVE
5,US,36311751,R1MCXZFNF8E7Y0,B0033X29CI,294467812,Danby  Freestanding Wine Cooler,Major Appliances,1,0,0,N,Y,Piece of Junk,It would not cool below 55 degrees and has now stopped working all together.  I would NOT recommend this piece of junk to anyone.,8/31/15,NEGATIVE
6,US,30920961,R3EMB3E3ODR6BW,B005R597HA,183784715,Avanti 110-Volt Automatic Portable Compact Dryer with Stainless Drum and See-Thru Window,Major Appliances,5,2,2,N,Y,Works awesome for apt size 110 dryer,Works awesome for apt size 110 dryer. Handles load from apt size washer just fine. It does take longer to dry. Electric cost savings over a full size 220 is worth the time. Does not add much humidity unless lint filter is full.,8/31/15,POSITIVE
7,US,52491265,RJTONVTTOPJ5S,B00MO6V8Y0,960251524,Danby products,Major Appliances,5,0,0,N,Y,Five Stars,exactly what I wanted!,8/31/15,POSITIVE
8,US,48166169,R21U5QZ2CQECUM,B00HT39QDI,992475314,3 Pack Tier1 MSWF GE SmartWater Replacement Refrigerator Water Filter,Major Appliances,4,0,0,N,Y,Four Stars,AS advertised,8/31/15,POSITIVE
9,US,50394924,RL2BBC51H89DH,B00LESFZ52,1641606,"True TSSU-60-16 60"" 2 Door Refrigerated Sandwich Prep Table | (16) 1/6 Pan Capacity",Major Appliances,4,0,0,N,Y,but has poor insulation in the top,"It works as advertised, but has poor insulation in the top. Like the 3rd shelf, it comes in handy for small/short items.",8/31/15,MIXED
10,US,3915552,R3RNEPHF3WIRSZ,B0149IJVPI,838108342,Magic: the Gathering - Rally the Ancestors (022/185) - Fate Reforged Magic: the Gathering,Major Appliances,2,0,0,N,N,Two Stars,"it's not worth 22 dollars, I've heard it became of some value just not that high.",8/31/15,NEGATIVE
11,US,17068589,R38DNT9KML2PF3,B002HT0958,387104338,Mini Portable Countertop Spin Dryer,Major Appliances,5,0,0,N,Y,Love it for camping,Wonderful! It spins the clothes out fast! We use this with the washing machine just like this in our camper. Great and saves money at the camp laundry.  Just wash spin and hang up.,8/31/15,POSITIVE
12,US,52081068,R2ECMBJM8KNNC8,B006WOBNX6,180688127,"1 X Dishwasher Rack Roller for Frigidaire, Electrolux 154174501",Major Appliances,4,0,0,N,Y,Four Stars,Did the job but didn't match the original gray wheels.,8/31/15,NEGATIVE
13,US,13783713,R2F3F92PRN9T7S,B00NLPMOU0,570132358,Watson 1.5 ft AC Power Extension Cord 14 AWG (Black),Major Appliances,5,0,0,N,Y,Very well satisfied.,Arrived on time and exactly as described.  Fits my need perfectly.  Very well satisfied.,8/31/15,POSITIVE
14,US,14555366,R35XNT88XVEMK6,B00KJ07SEM,313983847,GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,Major Appliances,5,1,1,N,Y,Five Stars,Super,8/31/15,POSITIVE
15,US,48417244,RZRXLHQS71FUP,B001AT2ALM,364403440,Koldfront Ultra Compact Portable Ice Maker - White,Major Appliances,4,1,1,N,Y,Four Stars,Looking forward to using this product.,8/31/15,POSITIVE
16,US,19010760,R3J9T4MZRAURV5,B00JG8B42K,672722354,"OnePurify RFC0800A Water Filter Replacement Cartridge, 2 Pack",Major Appliances,1,0,0,N,Y,dont waste your,cheap knock-off. dont waste your time,8/31/15,NEGATIVE
17,US,43532555,R3CLDHHI0ZSQLO,B00FRJ5EWS,137548022,2016 Life Water Ionizer Next Generation M9 Counter-top,Major Appliances,5,1,2,N,N,Great Product,My wife is looking for a alkaline water machine and she told about this 4000+ machine.I doing a research online and gladly find this  M9. I call them right away and give me a good discount  and upgraded my system with no extra cost.As soon my M9 arrive it is very easy to install.I did a water test and the quality of the product exceed my expectation.I was very happy on my first M9.,8/31/15,POSITIVE
18,US,21879631,RY52KZABZK8QF,B0052G14E8,423421857,Danby 0.7 cu.ft. Countertop Microwave,Major Appliances,1,0,0,N,Y,Do not recommend it. go use your money for something more ...,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,8/31/15,NEGATIVE
19,US,810098,R25RXV5X29M3UC,B00LOVVE9A,386722389,"SPT UF-304SS Energy Star Upright Freezer, 3.0 Cubic Feet, Stainless Steel",Major Appliances,4,0,1,N,Y,Four Stars,So far so good.,8/31/15,POSITIVE
20,US,153962,RKQC9RROJH33B,B000JLNBW4,582305048,Koolatron Coke Personal Mini Fridge,Major Appliances,4,0,0,N,Y,Four Stars,Awesome little fridge worth getting :),8/31/15,POSITIVE
21,US,29746279,R185RN2PC6T26W,B00NO5WOIY,347258664,"LG LFXC24726S French Door Refrigerator, 24.0 Cubic Feet, Stainless Steel",Major Appliances,1,10,11,N,N,Don't buy it!,"Do not buy!  Recently purchased, water leaks under bottom veggie tray, ice formation also.  Bad design.  Ill be calling LG and wasting time trying to get it repaired.  Really bad for such an expensive refrigerator, stay away.",8/31/15,NEGATIVE
22,US,10215462,R2V3WG9G43XHYO,B00KJ07SEM,313983847,GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,Major Appliances,5,1,1,N,Y,perfect fit - water tastes delicious,"Arrived when promised, perfect fit - water tastes delicious!",8/31/15,POSITIVE
23,US,9901051,R13YBEPG5ZHUOT,B002MPLYEW,183067183,"Danby 120 Can Beverage Center, Stainless Steel DBC120BLS",Major Appliances,4,0,0,N,Y,Four Stars,nice,8/31/15,POSITIVE
24,US,21589636,R1X3BXEUQKZJSR,B001DPPXYE,52150164,Frigidaire Clothes Dryer Cycling Thermostat 134120900 Home Improvement,Major Appliances,5,0,0,N,Y,Save my electric bill!,"After watching a video on YouTube, I took the dryer apart and blew it out with an air compressor and now it runs like new.",8/31/15,POSITIVE
25,US,10322380,R1IZQJMRVQ01MC,B007N8XWAC,437856146,Sunpentown WC-0888H Thermo-Electric Slim Wine Cooler with Heating,Major Appliances,2,2,4,N,Y,Two Stars,"Unit does not keep wine below 50 degrees, ever. Look at another product.",8/31/15,NEGATIVE
26,US,2014708,R2BJL530W0E4PB,B00UZRV9MG,18863528,Portable Compact Washer and Spin Dry Cycle with Built in Pump (33L Washer & 16L Spin Dryer),Major Appliances,5,0,0,N,Y,Five Stars,This is so very AWESOME!!!!!  Love it!!!!,8/31/15,POSITIVE
27,US,11986280,R1K6VIGRAOX6RF,B008KTIGZ4,321103758,GE GTUP270EMWW Spacemaker 9.2 Cu. Ft. White Electric Washer/Dryer Combo,Major Appliances,1,0,0,N,N,Destroys Clothes,"The dryer for this stackable unit destroys clothes.  A loose button is found almost every time buttoned up shirts go in the dryer.  The vent holes to the lint trap are very large, and just the right size for buttons to be lodge in to be ripped off.  I have had buttons destroyed and holes ripped open when the buttons get ripped off.  All they need to do is design a replacement piece and I will get to keep my buttons.",8/31/15,NEGATIVE
28,US,15858383,RDXGL0IV0EDF3,B005DJ7CFE,855609675,Appliance Art Instant Stainless Large Magnet Dishwasher Cover,Major Appliances,5,1,1,N,Y,Five Stars,It was everything I needed it to be,8/31/15,POSITIVE
29,US,13325887,R1RMA59NTUPJ77,B00JF7ZUQS,210381684,"Kenmore 46 9991, 469996, GE MWF compatible water filter",Major Appliances,1,0,0,N,Y,One Star,My filter only worked for a week or Two!,8/31/15,NEGATIVE
30,US,30328959,R3T0GBAW0XECFU,B004HXDLJ8,693470227,Whynter BWR-18SD 18 Bottle Built-In Wine Refrigerator,Major Appliances,4,4,4,N,Y,I purchased the 3-year Smart Guard protection on it which at first,"I've had this product for one year and it's has already stopped working.  I purchased the 3-year Smart Guard protection on it which at first, attempted to find someone to come repair the issue, but instead they are just sending me an entire new wine cooler.  So, I would highly recommend purchasing the protection plan, just in case!",8/31/15,NEGATIVE
31,US,16777448,R19OTUYMXIE0Y9,B003GFAY5C,647457047,Broan 30W in. QP2 Under Cabinet Range Hood,Major Appliances,5,0,0,N,Y,EXCELLENT lighting. Fan works well too,Bought this for a rental unit and now considering replacing my hood at home. EXCELLENT lighting. Fan works well too.,8/31/15,POSITIVE
32,US,11004718,RNQTD1YV2PED,B004Q6K36A,388971824,Avanti 1.7-Cubic Foot Superconductor Beverage Cooler W/Mirrored Finish Glass Door,Major Appliances,5,0,1,N,Y,Five Stars,very happy with purchase.  Quiet.  Used for soft drinks.,8/31/15,POSITIVE
33,US,726454,R3JCYALU15ELCV,B005GM942C,788261054,Panda Small Mini Counter Top Portable Compact Washer Washing Machine 5.5-10lbs,Major Appliances,3,0,0,N,Y,If you dont add too much soap works great though.,The rinse cycle leaves a lot to be desired. If you dont add too much soap works great though.,8/31/15,POSITIVE
34,US,13446431,R1QXNQBTH7LIUB,B00V03PK74,159528888,Kalamera freestanding series wine cooler-KRC-120A2,Major Appliances,3,9,22,N,Y,They claim that it holds 52 bottles. i could ...,They claim that it holds 52 bottles.  i could barely squeeze in about 47 and these were at a tightness to where i was concerned that i would break the wood drawers.,8/31/15,NEGATIVE
35,US,34908581,RT2Z6R4KN1YJR,B001DPNXPU,638407024,Maytag Clothes Dryer Thermostat Thermal Fuse 303392,Major Appliances,5,0,0,N,Y,Five Stars,perfect fit,8/31/15,POSITIVE
36,US,32357898,R2RNUWNK18MTT7,B00ODBTQ70,84493776,Supco DE0019A Dryer Heating Element,Major Appliances,5,0,0,N,Y,Five Stars,Arrived quickly and was easy to install,8/31/15,POSITIVE
37,US,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,Danby 0.7 cu.ft. Countertop Microwave,Major Appliances,5,0,0,N,Y,Looks as good as the picture,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,8/31/15,NEGATIVE
38,US,17526889,R3MN8IM8W6G1YH,B005NK21MM,929456634,EdgeStar 6 Place Setting Countertop Portable Dishwasher,Major Appliances,1,0,0,N,Y,Not reliable,"Worked great until it stopped working.    Twice I've had one of these go out on me.  The first time I ran it without the water turned on (my fault, but it can detect that there's no water nd it keeps running anyway -- what the hell!) and it developed a leak.  I'd had it about 30 days and the company exchanged it for me.  The 2nd time I have been using it correctly with great results for about 1 year.  Then yesterday it started making a different noise than it usually makes -- it sounded like a pump was frozen up - and there was a burning smell.  And it again developed a leak in the bottom.  Disappointed.  It's probably past the warrantee now so I'll likely just have to junk it.  Not sure if I will get another one or not as they all seem to be the same brand available on Amazon so they may all have the same quality issues.",8/31/15,NEGATIVE
39,US,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,Danby 0.7 cu.ft. Countertop Microwave,Major Appliances,4,0,0,N,Y,Four Stars,"Very nice microwave, great price",8/31/15,POSITIVE
40,US,44278036,RP6ZGEG8AP1FR,B004TSP5EA,970203056,GE GPF65 Dishwasher Bracket Kit - Non Wood Countertop Installation,Major Appliances,5,0,0,N,Y,Five Stars,Perfect,8/31/15,POSITIVE
41,US,32960296,R1Q7ARAE2DCRGE,B005JSDOLK,764714444,"20"" x 20"" Microfiber Filters for Box Fans, 60 Day Filtration (Set of 2): Box Fan Not Included",Major Appliances,5,0,2,N,Y,Five Stars,Awesome,8/31/15,POSITIVE
42,US,14103822,R1CI57E6MTQ612,B00NK0PUQG,451574990,125 Universal White Dishwasher Rack Tip Tine Cover Caps Just Push On to Repair,Major Appliances,5,0,0,N,Y,No more scratched dishes.....mostly,"sometimes comes off, but overall, just fine",8/31/15,MIXED
43,US,16374060,R1A2378ORPPM84,B002QUAPSO,835944606,Breathing Mobile Washer Classic - Portable Clothes Washing Machine - Handheld - Manual - Mobile Hand Powered Laundry Solution - Superior Materials and Construction,Major Appliances,5,0,0,N,Y,Five Stars,works great!!!!!!,8/31/15,POSITIVE
44,US,12488325,R1EWS25SGGC2L1,B00L1JT4YM,839318065,Samsung DA29-00020B Compatible Water Filter - Refrigerator,Major Appliances,5,1,1,N,Y,Five Stars,Thank you,8/31/15,POSITIVE
